A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H224|W224|C4|K64|R7|S7|U1|V1|P3|Q3|D2|E2|NHWC|BF16|FP32|eng49_k0=98_k2=9_k5=3_k14=3|eng10_k2=7_k12=42_k13=0_k14=4_k15=1_k17=43_k18=1_k23=0|eng10_k2=7_k12=42_k13=0_k14=4_k15=1_k17=43_k18=1_k23=0|420926608|3.7182|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H56|W56|C64|K64|R1|S1|U1|V1|P0|Q0|D1|E1|NHWC|BF16|FP32|eng62_k25=1|eng49_k0=102_k2=7_k5=3_k14=5|eng62_k25=2|884992|0.2495|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H56|W56|C64|K64|R3|S3|U1|V1|P1|Q1|D1|E1|NHWC|BF16|FP32|eng10_k2=7_k12=32_k13=0_k14=4_k15=1_k17=33_k18=1_k23=0|eng10_k2=0_k12=40_k13=1_k14=2_k15=1_k17=41_k18=1_k23=0|eng10_k2=5_k12=14_k13=1_k14=3_k15=0_k17=15_k18=1_k23=0|5243699|1.0009|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H56|W56|C64|K256|R1|S1|U1|V1|P0|Q0|D1|E1|NHWC|BF16|FP32|eng62_k25=1|eng62_k25=2|eng62_k25=2|3539200|0.6008|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H56|W56|C256|K64|R1|S1|U1|V1|P0|Q0|D1|E1|NHWC|BF16|FP32|eng62_k25=1|eng62_k25=2|eng62_k25=2|3539200|0.5804|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H56|W56|C256|K128|R1|S1|U1|V1|P0|Q0|D1|E1|NHWC|BF16|FP32|eng62_k25=2|eng49_k0=38_k2=0_k5=4_k14=3|eng10_k2=1_k12=21_k13=0_k14=4_k15=1_k17=22_k18=1_k23=0|7078144|0.7010|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H56|W56|C256|K512|R1|S1|U1|V1|P0|Q0|D2|E2|NHWC|BF16|FP32|eng33_k0=17_k2=3_k5=3_k14=2|eng10_k2=1_k12=-1_k13=0_k14=4_k15=1_k17=10_k18=1_k23=0|eng47_k0=18_k2=3_k5=3_k14=2|8913024|0.6320|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H28|W28|C128|K512|R1|S1|U1|V1|P0|Q0|D1|E1|NHWC|BF16|FP32|eng62_k25=1|eng62_k25=1|eng62_k25=1|6029568|0.3310|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H28|W28|C512|K128|R1|S1|U1|V1|P0|Q0|D1|E1|NHWC|BF16|FP32|eng62_k25=2|eng49_k0=21_k2=0_k5=3_k14=3|eng10_k2=0_k12=21_k13=0_k14=3_k15=1_k17=22_k18=1_k23=0|6029568|0.3281|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H28|W28|C128|K128|R3|S3|U1|V1|P1|Q1|D1|E1|NHWC|BF16|FP32|eng10_k2=0_k12=9_k13=1_k14=2_k15=1_k17=10_k18=1_k23=0|eng49_k0=9_k2=0_k5=4_k14=3|eng10_k2=1_k12=8_k13=0_k14=4_k15=1_k17=9_k18=1_k23=0|5308935|0.6284|exhaustive
A100-SXM4-80GB|SM80|cuDNN9.17.0|CUDA13.1|conv_wgrad_bf16|N512|H28|W28|C512|K256|R1|S1|U1|V1|P0|Q0|D1|E1|NHWC|BF16|FP32|eng62_k25=2|eng62_k25=1|eng62_k25=1|3408128|0.4946|exhaustive
